Station_ID,Capacity,Latitude,Longitude,Station_Name
139,18,51.494881,-0.117974,"Lambeth Road, Vauxhall"
140,33,51.520962,-0.085634,"Finsbury Square , Moorgate"
141,29,51.515308,-0.147203,"Chapel Place, Marylebone"
142,24,51.493724,-0.198286,"West Cromwell Road, Earl's Court"
143,24,51.496886,-0.161203,"Pont Street, Knightsbridge"
144,47,51.48894,-0.111435,"Kennington Cross, Kennington"
145,24,51.500743,-0.202759,"Ilchester Place, Kensington"
146,35,51.488365,-0.129361,"Vauxhall Bridge , Pimlico"
148,16,51.492111,-0.138364,"Tachbrook Street, Victoria"
149,18,51.484788,-0.110683,"Kennington Road Post Office, Oval"
150,28,51.497056,-0.168917,"Holy Trinity Brompton, Knightsbridge"
151,26,51.512136,-0.201554,"Chepstow Villas, Notting Hill"
152,21,51.49217,-0.101536,"Hampton Street, Walworth"
153,27,51.511933,-0.174411,"Bayswater Road, Hyde Park"
154,35,51.503791,-0.112824,"Waterloo Station 3, Waterloo"
155,19,51.495866,-0.191933,"Lexham Gardens, Kensington"
156,33,51.494436,-0.092921,"New Kent Road, The Borough"
157,37,51.500397,-0.193068,"Wright's Lane, Kensington"
158,18,51.490853,-0.19617,"Trebovir Road, Earl's Court"
159,39,51.514619,-0.137841,"Great Marlborough Street, Soho"
160,20,51.506633,-0.131773,"Waterloo Place, St. James's"
161,16,51.492345,-0.141334,"Guildhouse Street, Victoria"
162,20,51.517606,-0.121328,"Southampton Place, Holborn"
163,27,51.493184,-0.167894,"Sloane Avenue, Knightsbridge"
164,16,51.515607,-0.183118,"Cleveland Gardens, Bayswater"
165,15,51.517932,-0.183716,"Orsett Terrace, Bayswater"
166,27,51.501855,-0.159237,"Seville Street, Knightsbridge"
167,19,51.49395,-0.147624,"Eccleston Place, Victoria"
168,19,51.500401,-0.195455,"Argyll Road, Kensington"
169,18,51.514746,-0.165164,"Porchester Place, Paddington"
170,30,51.527842,-0.108068,"Hardwick Street, Clerkenwell"
171,14,51.491615,-0.186753,"Collingham Gardens, Earl's Court"
172,19,51.491211,-0.173715,"Sumner Place, South Kensington"
173,15,51.50486,-0.113001,"Waterloo Road, South Bank"
174,36,51.512529,-0.115163,"Strand, Strand"
175,26,51.521743,-0.081118,"Appold Street, Liverpool Street"
176,23,51.517919,-0.188098,"Gloucester Terrace, Bayswater"
177,25,51.49616,-0.140947,"Ashley Place, Victoria"
178,19,51.489856,-0.141923,"Warwick Square, Pimlico"
180,17,51.512911,-0.153645,"North Audley Street, Mayfair"
181,21,51.499412,-0.152317,"Belgrave Square, Belgravia"
182,18,51.522029,-0.165842,"Bell Street , Marylebone"
183,24,51.482362,-0.136123,"Riverlight North, Nine Elms"
184,34,51.520715,-0.145211,"Portland Place, Marylebone"
185,14,51.488057,-0.140741,"Alderney Street, Pimlico"
186,16,51.517335,-0.17581,"South Wharf Road, Paddington"
191,28,51.503117,-0.15352,"Hyde Park Corner, Hyde Park"
192,16,51.512515,-0.133201,"Wardour Street, Soho"
193,60,51.505817,-0.100186,"Bankside Mix, Bankside"
199,24,51.510484,-0.082989,"Great Tower Street, Monument"
200,14,51.514924,-0.066078,"LMU Commercial Road, Whitechapel"
202,37,51.512363,-0.069542,"Leman Street, Aldgate"
203,15,51.518218,-0.100791,"West Smithfield Rotunda, Farringdon"
204,19,51.526599,-0.112432,"Margery Street, Clerkenwell"
206,36,51.518154,-0.062697,"New Road 1 , Whitechapel"
207,18,51.501352,-0.153194,"Grosvenor Crescent, Belgravia"
208,20,51.525051,-0.166304,"Mallory Street, Marylebone"
209,30,51.493583,-0.165101,"Denyer Street, Knightsbridge"
210,21,51.516814,-0.151926,"Hinde Street, Marylebone"
211,34,51.494645,-0.158105,"Cadogan Place, Knightsbridge"
212,17,51.506584,-0.199004,"Campden Hill Road, Notting Hill"
213,36,51.50274,-0.149569,"Wellington Arch, Hyde Park"
214,32,51.526838,-0.130504,"Endsleigh Gardens, Euston"
215,54,51.519069,-0.088285,"Moorfields, Moorgate"
216,30,51.490945,-0.18119,"Old Brompton Road, South Kensington"
217,16,51.516154,-0.082422,"Wormwood Street, Liverpool Street"
218,20,51.489716,-0.170194,"St. Luke's Church, Chelsea"
219,29,51.490163,-0.190393,"Bramham Gardens, Earl's Court"
220,27,51.490664,-0.166485,"Chelsea Green, Chelsea"
221,16,51.494816,-0.130458,"Horseferry Road, Westminster"
222,43,51.502757,-0.155349,"Knightsbridge, Hyde Park"
223,24,51.491484,-0.09022,"Rodney Road , Walworth"
224,16,51.514769,-0.188129,"Whiteley's, Bayswater"
225,30,51.509353,-0.196422,"Notting Hill Gate Station, Notting Hill"
226,24,51.508446,-0.131961,"Charles II Street, West End"
227,23,51.528915,-0.11548,"Great Percy Street, Clerkenwell"
228,40,51.507424,-0.134621,"St. James's Square, St. James's"
229,24,51.506543,-0.123179,"Whitehall Place, Strand"
230,31,51.506692,-0.103137,"Poured Lines, Bankside"
231,31,51.493967,-0.178732,"Queen's Gate (Central), South Kensington"
232,16,51.51501,-0.112753,"Carey Street, Holborn"
233,22,51.50777,-0.130699,"Pall Mall East, West End"
234,24,51.534504,-0.106992,"Liverpool Road (N1 Centre), Angel"
235,36,51.495718,-0.110889,"Kennington Road  , Vauxhall"
236,30,51.51838,-0.073438,"Fashion Street, Whitechapel"
237,30,51.509786,-0.068161,"Dock Street, Wapping"
238,32,51.523353,-0.175116,"Frampton Street, Paddington"
239,26,51.524438,-0.138019,"Warren Street Station, Euston"
240,14,51.505459,-0.105692,"Colombo Street, Southwark"
242,23,51.522008,-0.151359,"Beaumont Street, Marylebone"
243,25,51.490962,-0.139625,"Gloucester Street, Pimlico"
244,18,51.516118,-0.128585,"Earnshaw Street , Covent Garden"
245,29,51.485357,-0.142207,"Grosvenor Road, Pimlico"
246,41,51.522853,-0.099994,"Berry Street, Clerkenwell"
247,50,51.530052,-0.168314,"St. John's Wood Church, The Regent's Park"
248,27,51.506451,-0.170279,"Triangle Car Park, Hyde Park"
249,42,51.498597,-0.096191,"Harper Road, The Borough"
250,10,51.489932,-0.162727,"Royal Avenue 1, Chelsea"
251,34,51.518908,-0.079249,"Brushfield Street, Liverpool Street"
252,30,51.504636,-0.116542,"Jubilee Gardens, South Bank"
253,30,51.534042,-0.086379,"Shoreditch Park, Hoxton"
254,17,51.530515,-0.106408,"Chadwell Street, Angel"
255,22,51.525575,-0.179592,"Clifton Road, Maida Vale"
256,15,51.51362,-0.116764,"Houghton Street, Strand"
257,16,51.522481,-0.154907,"Westminster University, Marylebone"
258,23,51.501432,-0.178656,"Kensington Gore, Knightsbridge"
260,18,51.513684,-0.13558,"Broadwick Street, Soho"
261,15,51.513489,-0.191351,"Princes Square, Bayswater"
262,35,51.498744,-0.103132,"LSBU (Borough Road), Elephant & Castle"
263,21,51.514225,-0.08066,"St. Mary Axe, Aldgate"
264,20,51.526443,-0.109256,"Tysoe Street, Clerkenwell"
265,17,51.515953,-0.169249,"Southwick Street, Paddington"
266,41,51.501026,-0.180246,"Queen's Gate (North), Kensington"
267,22,51.49206,-0.132224,"Regency Street, Westminster"
268,29,51.493204,-0.144132,"Belgrave Road, Victoria"
269,46,51.500823,-0.08974,"Empire Square, The Borough"
270,31,51.486343,-0.122492,"Kennington Lane Rail Bridge, Vauxhall"
271,32,51.535836,-0.156285,"London Zoo,  The Regent's Park"
272,22,51.501444,-0.110699,"Baylis Road, Waterloo"
273,38,51.506133,-0.114686,"Belvedere Road 1, South Bank"
274,36,51.496712,-0.205284,"Warwick Road, Olympia"
275,19,51.520044,-0.092176,"Barbican Centre, Barbican"
276,24,51.509301,-0.084985,"Lower Thames Street, Monument"
277,17,51.503157,-0.191496,"Kensington Church Street, Kensington"
278,17,51.503493,-0.07962,"Tooley Street, Bermondsey"
279,25,51.518622,-0.176645,"North Wharf Road, Paddington"
280,10,51.490083,-0.162418,"Royal Avenue 2, Chelsea"
281,18,51.495805,-0.127575,"Smith Square, Westminster"
282,42,51.519064,-0.059642,"Royal London Hospital, Whitechapel"
283,16,51.514409,-0.118478,"Kingsway, Covent Garden"
284,20,51.49914,-0.112031,"Lambeth North Station, Waterloo"
286,35,51.527294,-0.174653,"St. John's Wood Road, St. John's Wood"
287,23,51.523673,-0.128377,"Bedford Way, Bloomsbury"
288,34,51.492369,-0.147478,"Elizabeth Bridge, Victoria"
289,15,51.50923,-0.151296,"South Audley Street, Mayfair"
290,15,51.51678,-0.175488,"Winsland Street, Paddington"
291,32,51.484839,-0.138089,"Claverton Street, Pimlico"
292,16,51.498884,-0.165471,"Montpelier Street, Knightsbridge"
293,25,51.498157,-0.209494,"Kensington Olympia Station, Olympia"
294,16,51.488226,-0.135635,"St. George's Square, Pimlico"
295,27,51.500296,-0.092762,"Swan Street, The Borough"
296,18,51.493631,-0.190603,"Knaresborough Place, Earl's Court"
297,17,51.496127,-0.106,"Geraldine Street, Elephant & Castle"
298,21,51.502279,-0.074189,"Curlew Street, Shad Thames"
299,19,51.493985,-0.136928,"Vincent Square, Westminster"
301,24,51.514759,-0.148105,"Marylebone Lane, Marylebone"
302,28,51.466907,-0.216573,"Putney Pier, Wandsworth"
303,28,51.502953,-0.158456,"Albert Gate, Hyde Park"
305,15,51.486779,-0.115853,"Kennington Lane Tesco, Vauxhall"
306,16,51.518162,-0.135025,"Rathbone Street, Fitzrovia"
307,24,51.509908,-0.187842,"Black Lion Gate, Kensington Gardens"
308,20,51.499075,-0.085666,"Long Lane , Bermondsey"
309,41,51.509631,-0.119047,"Embankment (Savoy), Strand"
310,19,51.490867,-0.116911,"Black Prince Road, Vauxhall"
312,20,51.530889,-0.17677,"Grove End Road, St. John's Wood"
313,38,51.517344,-0.138072,"Wells Street, Fitzrovia"
314,36,51.500889,-0.083159,"Tyers Gate, Bermondsey"
315,16,51.525367,-0.153463,"The Tennis Courts, The Regent's Park"
317,32,51.496791,-0.093913,"Dickens Square, Borough"
318,18,51.510048,-0.138846,"Sackville Street, Mayfair"
319,21,51.527025,-0.088542,"Baldwin Street, St. Luke's"
320,26,51.493573,-0.139956,"Queen Mother Sports Centre, Victoria"
321,24,51.497855,-0.081608,"Bermondsey Street, Bermondsey"
322,26,51.526293,-0.073955,"Palissy Street, Shoreditch"
323,24,51.523196,-0.083067,"Clifton Street, Shoreditch"
324,15,51.49652,-0.101384,"Ontario Street, Elephant & Castle"
325,18,51.509087,-0.129697,"St. Martin's Street, West End"
326,25,51.532661,-0.099981,"Graham Street, Angel"
327,22,51.53095,-0.085603,"New North Road 1, Hoxton"
328,22,51.53114,-0.086016,"New North Road 2, Hoxton"
329,24,51.535892,-0.160854,"Prince Albert Road, The Regent's Park"
330,34,51.516417,-0.179135,"Eastbourne Mews, Paddington"
331,30,51.520858,-0.089887,"Bunhill Row, Moorgate"
332,20,51.493343,-0.194757,"Nevern Place, Earl's Court"
333,37,51.508605,-0.193764,"Palace Gardens Terrace, Notting Hill"
334,10,51.505044,-0.115851,"Concert Hall Approach 1, South Bank"
335,33,51.511968,-0.120718,"Tavistock Street, Covent Garden"
336,18,51.504942,-0.115533,"Concert Hall Approach 2, South Bank"
337,16,51.511084,-0.197524,"Pembridge Villas, Notting Hill"
338,23,51.511756,-0.119643,"Wellington Street , Strand"
339,25,51.533319,-0.111781,"Risinghill Street, Angel"
340,16,51.514441,-0.087587,"Bank of England Museum, Bank"
341,23,51.508103,-0.126021,"Craven Street, Strand"
343,36,51.536922,-0.150181,"London Zoo Car Park, The Regent's Park"
344,17,51.528246,-0.101026,"Goswell Road (City Uni), Finsbury"
345,33,51.488023,-0.166878,"Flood Street, Chelsea"
347,17,51.500139,-0.113936,"Lower Marsh, Waterloo"
348,17,51.51217,-0.150481,"Grosvenor Square, Mayfair"
349,18,51.51196,-0.142783,"St. George Street, Mayfair"
350,21,51.501715,-0.179854,"Queen's Gate, Kensington Gardens"
351,28,51.529423,-0.097122,"Macclesfield Rd, St Lukes"
352,19,51.486965,-0.116625,"Vauxhall Street, Vauxhall"
353,17,51.494591,-0.134234,"Greycoat Street , Westminster"
354,37,51.506767,-0.123702,"Northumberland Avenue, Strand"
355,21,51.486575,-0.117286,"Oval Way, Vauxhall"
356,15,51.494412,-0.173881,"South Kensington Station, South Kensington"
357,30,51.520994,-0.139016,"Howland Street, Fitzrovia"
358,20,51.516226,-0.124826,"High Holborn , Covent Garden"
359,18,51.497829,-0.13544,"Butler Place, Westminster"
360,27,51.496753,-0.138733,"Howick Place, Westminster"
361,55,51.503919,-0.113426,"Waterloo Station 2, Waterloo"
362,57,51.536264,-0.133952,"Royal College Street, Camden Town"
363,24,51.529121,-0.171185,"Lord's, St. John's Wood"
364,41,51.519656,-0.132339,"Alfred Place, Bloomsbury"
365,47,51.530344,-0.100168,"City Road, Angel"
366,27,51.510919,-0.151126,"Millennium Hotel, Mayfair"
367,16,51.517372,-0.164207,"Harrowby Street, Marylebone"
368,25,51.500241,-0.15934,"Harriet Street, Knightsbridge"
370,20,51.520205,-0.174593,"Paddington Green, Paddington"
371,22,51.49775,-0.10988,"King Edward Walk, Waterloo"
372,24,51.515208,-0.117863,"Sardinia Street, Holborn"
373,18,51.499806,-0.176415,"Prince Consort Road, Knightsbridge"
374,36,51.504027,-0.113864,"Waterloo Station 1, Waterloo"
375,18,51.501945,-0.194392,"Kensington Town Hall, Kensington"
376,24,51.491884,-0.125674,"Millbank Tower, Pimlico"
377,15,51.505354,-0.113656,"Waterloo Bridge, South Bank"
378,42,51.495592,-0.179077,"Natural History Museum, South Kensington"
379,21,51.514311,-0.200838,"Turquoise Island, Notting Hill"
380,21,51.506864,-0.150666,"Stanhope Gate, Mayfair"
381,14,51.51953,-0.135777,"Charlotte Street, Fitzrovia"
382,15,51.509351,-0.147449,"Farm Street, Mayfair"
383,18,51.513103,-0.131213,"Frith Street, Soho"
384,15,51.496481,-0.192404,"Marloes Road, Kensington"
386,16,51.513527,-0.13011,"Moor Street, Soho"
387,30,51.493699,-0.121394,"Fire Brigade Pier, Vauxhall"
388,14,51.510701,-0.121723,"Southampton Street, Strand"
389,18,51.51013,-0.155757,"Upper Grosvenor Street, Mayfair"
390,41,51.521776,-0.068856,"Buxton Street 1, Shoreditch"
392,21,51.499428,-0.179702,"Imperial College, Knightsbridge"
393,15,51.517334,-0.103604,"Snow Hill, Farringdon"
394,18,51.524826,-0.176268,"Aberdeen Place, St. John's Wood"
395,15,51.492462,-0.159919,"Cadogan Gardens, Chelsea"
396,16,51.51809,-0.163609,"Shouldham Street, Marylebone"
397,16,51.51348,-0.17977,"Devonshire Terrace, Bayswater"
398,30,51.502319,-0.200742,"Holland Park, Kensington"
399,24,51.522617,-0.071653,"Brick Lane Market, Shoreditch"
400,26,51.517703,-0.154106,"George Street, Marylebone"
401,24,51.528187,-0.075375,"Columbia Road, Shoreditch"
402,15,51.522892,-0.171681,"Penfold Street, Marylebone"
403,16,51.516892,-0.158249,"George Place Mews, Marylebone"
404,13,51.502042,-0.1844,"Palace Gate, Kensington Gardens"
405,15,51.494185,-0.18267,"Gloucester Road Station, South Kensington"
408,40,51.519943,-0.170704,"Paddington Green Police Station, Paddington"
409,41,51.493146,-0.099828,"Strata, Elephant & Castle"
410,64,51.519968,-0.169774,"Edgware Road Station, Marylebone"
411,33,51.493372,-0.09968,"Walworth Road, Elephant & Castle"
412,17,51.488105,-0.110121,"Cleaver Street, Kennington"
419,15,51.485821,-0.149004,"Chelsea Bridge, Pimlico"
420,37,51.504043,-0.105312,"Southwark Station 1, Southwark"
421,45,51.504044,-0.104778,"Southwark Station 2, Southwark"
423,31,51.494561,-0.153933,"Eaton Square (South), Belgravia"
424,29,51.490491,-0.149186,"Ebury Bridge, Pimlico"
425,38,51.533379,-0.139159,"Harrington Square 2, Camden Town"
426,17,51.493072,-0.129925,"Vincent Street, Pimlico"
427,43,51.51397,-0.09294,"Cheapside, Bank"
428,20,51.499917,-0.174554,"Exhibition Road, Knightsbridge"
430,18,51.48902,-0.17524,"South Parade, Chelsea"
431,20,51.534474,-0.122203,"Crinan Street, King's Cross"
432,22,51.496957,-0.173894,"Exhibition Road Museums, South Kensington"
433,33,51.524564,-0.116279,"Wren Street, Holborn"
435,23,51.488852,-0.105593,"Kennington Station, Kennington"
436,36,51.51824,-0.11655,"Red Lion Street, Holborn"
437,27,51.488124,-0.120903,"Vauxhall Walk, Vauxhall"
439,22,51.5338,-0.118677,"Killick Street, King's Cross"
440,33,51.483145,-0.113134,"Kennington Oval, Oval"
441,24,51.495656,-0.114605,"Sail Street, Vauxhall"
442,24,51.510101,-0.211358,"Walmer Road, Avondale"
443,30,51.515256,-0.058641,"Philpot Street, Whitechapel"
444,24,51.52568,-0.055312,"Bethnal Green Garden, Bethnal Green"
445,28,51.52388,-0.065076,"Cheshire Street, Bethnal Green"
446,27,51.528936,-0.055894,"York Hall, Bethnal Green"
447,54,51.493381,-0.007542,"Jubilee Crescent, Cubitt Town"
448,36,51.50623,-0.02296,"Fisherman's Walk West, Canary Wharf"
449,35,51.511088,-0.057159,"Shadwell Station, Shadwell"
450,28,51.515975,-0.053177,"Jubilee Street, Stepney"
451,16,51.504719,-0.063531,"Hermitage Court, Wapping"
452,24,51.505697,-0.070542,"St. Katharine's Way, Tower"
453,24,51.508447,-0.055167,"Garnet Street, Shadwell"
454,20,51.487679,-0.021582,"Napier Avenue, Millwall"
455,17,51.49447,-0.014409,"East Ferry Road, Cubitt Town"
456,33,51.538071,-0.144664,"Parkway, Camden Town"
457,29,51.542138,-0.145393,"Castlehaven Road, Camden Town"
458,28,51.504749,-0.057544,"Wapping Lane, Wapping"
459,17,51.535179,-0.03338,"Gunmakers Lane, Old Ford"
460,33,51.516196,-0.029138,"Burdett Road, Mile End"
462,45,51.541603,-0.138853,"Bonny Street, Camden Town"
463,22,51.534776,-0.071881,"Thurtle Road, Haggerston"
464,25,51.51417,-0.052099,"St. Mary & St. Michael Church, Stepney"
465,28,51.53558,-0.08249,"Pitfield Street North,Hoxton"
466,21,51.534464,-0.076341,"Whiston Road, Haggerston"
467,17,51.523538,-0.030556,"Southern Grove, Bow"
468,24,51.521564,-0.022694,"Cantrell Road, Bow"
469,44,51.513757,-0.020467,"Lindfield Street, Poplar"
470,46,51.530535,-0.025492,"Mostyn Grove, Bow"
471,19,51.533283,-0.028155,"Hewison Street, Old Ford"
472,21,51.529452,-0.027616,"Malmesbury Road, Bow"
473,19,51.496137,-0.019355,"Millharbour, Millwall"
474,39,51.498125,-0.011457,"Castalia Square, Cubitt Town"
475,57,51.499041,-0.020157,"Lightermans Road, Millwall"
476,29,51.489096,-0.009205,"Stebondale Street, Cubitt Town"
477,36,51.49109,-0.018716,"Spindrift Avenue, Millwall"
478,21,51.521889,-0.04667,"Stepney Green Station, Stepney"
479,20,51.527152,-0.058005,"Pott Street, Bethnal Green"
480,25,51.512871,-0.038986,"Flamborough Street, Limehouse"
481,35,51.487129,-0.009001,"Saunders Ness Road, Cubitt Town"
482,26,51.509843,-0.02377,"Thornfield House, Poplar"
483,33,51.51328,-0.047784,"Albert Gardens, Stepney"
484,24,51.528828,-0.013258,"Bromley High Street, Bow"
485,24,51.531127,-0.048017,"Old Ford Road, Bethnal Green"
486,37,51.525645,-0.069543,"Granby Street, Shoreditch"
487,23,51.511811,-0.025626,"Canton Street, Poplar"
488,22,51.506946,-0.058681,"Reardon Street, Wapping"
489,34,51.513074,-0.064094,"Christian Street, Whitechapel"
490,45,51.508622,-0.065006,"Pennington Street, Wapping"
491,45,51.522507,-0.041378,"Queen Mary's, Mile End"
492,63,51.524677,-0.03562,"The Green Bridge, Mile End"
494,36,51.50196,-0.016251,"South Quay East, Canary Wharf"
495,39,51.528169,-0.018703,"Bow Church Station, Bow"
496,39,51.52512,-0.015578,"Devons Road, Bow"
497,27,51.526177,-0.027467,"Merchant Street, Bow"
498,41,51.527058,-0.025296,"Bow Road Station, Bow"
499,36,51.519265,-0.021345,"Furze Green, Bow"
